FIPS,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,POPESTIMATE2019
1001,1,1,Alabama,Autauga County,54571,55869
1003,1,3,Alabama,Baldwin County,182265,223234
1005,1,5,Alabama,Barbour County,27457,24686
1007,1,7,Alabama,Bibb County,22915,22394
1009,1,9,Alabama,Blount County,57322,57826
1011,1,11,Alabama,Bullock County,10914,10101
1013,1,13,Alabama,Butler County,20947,19448
1015,1,15,Alabama,Calhoun County,118572,113605
1017,1,17,Alabama,Chambers County,34215,33254
1019,1,19,Alabama,Cherokee County,25989,26196
1021,1,21,Alabama,Chilton County,43643,44428
1023,1,23,Alabama,Choctaw County,13859,12589
1025,1,25,Alabama,Clarke County,25833,23622
1027,1,27,Alabama,Clay County,13932,13235
1029,1,29,Alabama,Cleburne County,14972,14910
1031,1,31,Alabama,Coffee County,49948,52342
1033,1,33,Alabama,Colbert County,54428,55241
1035,1,35,Alabama,Conecuh County,13228,12067
1037,1,37,Alabama,Coosa County,11539,10663
1039,1,39,Alabama,Covington County,37765,37049
1041,1,41,Alabama,Crenshaw County,13906,13772
1043,1,43,Alabama,Cullman County,80406,83768
1045,1,45,Alabama,Dale County,50251,49172
1047,1,47,Alabama,Dallas County,43820,37196
1049,1,49,Alabama,DeKalb County,71109,71513
1051,1,51,Alabama,Elmore County,79303,81209
1053,1,53,Alabama,Escambia County,38319,36633
1055,1,55,Alabama,Etowah County,104430,102268
1057,1,57,Alabama,Fayette County,17241,16302
1059,1,59,Alabama,Franklin County,31704,31362
1061,1,61,Alabama,Geneva County,26790,26271
1063,1,63,Alabama,Greene County,9045,8111
1065,1,65,Alabama,Hale County,15760,14651
1067,1,67,Alabama,Henry County,17302,17205
1069,1,69,Alabama,Houston County,101547,105882
1071,1,71,Alabama,Jackson County,53227,51626
1073,1,73,Alabama,Jefferson County,658466,658573
1075,1,75,Alabama,Lamar County,14564,13805
1077,1,77,Alabama,Lauderdale County,92709,92729
1079,1,79,Alabama,Lawrence County,34339,32924
1081,1,81,Alabama,Lee County,140247,164542
1083,1,83,Alabama,Limestone County,82782,98915
1085,1,85,Alabama,Lowndes County,11299,9726
1087,1,87,Alabama,Macon County,21452,18068
1089,1,89,Alabama,Madison County,334811,372909
