COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
1001,5.30%,7.40%,13.40%,29.50%,44.40%
1003,8.30%,5.90%,9.80%,32.30%,43.60%
1005,6.70%,12.10%,12.00%,20.10%,49.10%
1007,2.00%,3.40%,9.60%,27.80%,57.20%
1009,5.30%,11.40%,18.00%,19.40%,45.90%
1011,3.10%,4.00%,14.40%,28.60%,50.00%
1013,10.20%,5.30%,25.70%,13.70%,45.10%
1015,15.20%,10.80%,13.00%,16.70%,44.20%
1017,11.70%,3.70%,15.00%,13.60%,56.00%
1019,13.50%,2.70%,16.10%,15.80%,52.00%
1021,6.00%,7.00%,5.80%,19.40%,61.80%
1023,4.90%,3.80%,12.60%,21.90%,56.80%
1025,4.90%,8.80%,16.40%,26.80%,43.00%
1027,14.80%,15.80%,19.50%,16.90%,32.90%
1029,15.10%,12.50%,13.80%,21.70%,36.80%
1031,10.10%,15.20%,9.40%,18.60%,46.60%
1033,8.20%,9.60%,15.20%,15.90%,51.00%
1035,9.90%,5.20%,25.90%,19.20%,39.90%
1037,5.50%,13.10%,16.70%,26.30%,38.40%
1039,18.70%,12.80%,12.90%,20.10%,35.60%
1041,6.00%,9.10%,19.90%,23.30%,41.60%
1043,13.00%,2.40%,24.90%,21.70%,37.90%
1045,8.90%,11.30%,11.80%,22.00%,46.00%
1047,9.50%,10.00%,15.90%,12.20%,52.40%
1049,8.40%,5.10%,10.60%,17.90%,58.00%
1051,4.20%,9.50%,12.70%,25.20%,48.50%
1053,11.40%,2.60%,18.80%,28.50%,38.70%
1055,9.60%,10.30%,17.80%,12.20%,50.10%
1057,13.80%,4.80%,15.10%,23.30%,42.90%
1059,6.50%,7.10%,22.30%,15.60%,48.40%
1061,17.60%,13.10%,8.90%,15.80%,44.50%
1063,3.00%,5.30%,12.70%,16.70%,62.30%
1065,2.60%,6.10%,8.40%,19.10%,63.90%
1067,6.60%,6.80%,17.00%,25.80%,43.80%
1069,8.50%,7.90%,13.50%,26.80%,43.30%
