FIPS,County,State,Pop,PopDens,MskScore,CaseRate,DeathRate
1001,Autauga,Alabama,"56,319",93.22,7.51,"1,324.60",31.96
1003,Baldwin,Alabama,"209,227",127.55,7.42,675.82,5.74
1005,Barbour,Alabama,"27,072",29.93,7.32,"1,580.97",11.08
1007,Bibb,Alabama,"22,932",36.62,8.37,"1,029.13",8.72
1009,Blount,Alabama,"57,596",88.52,7.23,635.46,1.74
1011,Bullock,Alabama,"10,811",17.30,7.96,"3,561.19",101.75
1013,Butler,Alabama,"20,621",26.51,6.96,"3,205.47",150.33
1015,Calhoun,Alabama,"117,650",192.12,6.59,500.64,5.10
1017,Chambers,Alabama,"34,225",56.75,7.46,"2,080.35",93.50
1019,Cherokee,Alabama,"25,853",43.08,7.26,541.52,27.08
1021,Chilton,Alabama,"44,675",63.75,8.10,819.25,8.95
1023,Choctaw,Alabama,"13,369",14.52,8.05,"1,668.04",89.76
1025,Clarke,Alabama,"25,085",20.03,7.35,"1,315.53",23.92
1027,Clay,Alabama,"14,099",23.27,5.93,652.53,14.19
1029,Cleburne,Alabama,"15,154",27.01,6.31,349.74,6.60
1031,Coffee,Alabama,"52,079",76.53,6.91,885.19,7.68
1033,Colbert,Alabama,"55,293",88.86,7.29,"1,070.66",10.85
1035,Conecuh,Alabama,"12,742",14.94,6.86,"1,962.02",62.78
1037,Coosa,Alabama,"10,882",16.33,6.97,634.07,9.19
1039,Covington,Alabama,"38,108",36.51,6.03,"1,238.59",36.74
1041,Crenshaw,Alabama,"14,145",23.16,7.13,"1,018.03",21.21
1043,Cullman,Alabama,"83,698",110.87,6.72,835.15,7.17
1045,Dale,Alabama,"50,346",89.47,7.12,828.27,3.97
1047,Dallas,Alabama,"41,394",41.66,7.20,"2,531.77",24.16
1049,DeKalb,Alabama,"72,113",92.62,7.80,"1,564.21",9.71
1051,Elmore,Alabama,"82,819",126.02,7.61,"1,359.59",28.98
1053,Escambia,Alabama,"38,596",40.49,7.01,"1,370.61",20.73
1055,Etowah,Alabama,"103,290",188.24,7.07,"1,086.26",13.55
1057,Fayette,Alabama,"17,103",27.18,6.91,543.76,11.69
1059,Franklin,Alabama,"31,740",49.10,7.30,"3,040.33",50.41
1061,Geneva,Alabama,"27,108",46.82,6.41,391.03,0.00
1063,Greene,Alabama,"8,631",13.08,8.25,"2,328.81",104.28
1065,Hale,Alabama,"15,180",23.12,8.39,"2,450.59",151.52
1067,Henry,Alabama,"17,565",30.91,7.33,927.98,22.77
1069,Houston,Alabama,"106,275",182.76,7.21,633.26,8.47
1071,Jackson,Alabama,"53,404",47.39,7.24,893.19,5.62
1073,Jefferson,Alabama,"675,422",600.98,8.25,"1,075.62",26.06
1075,Lamar,Alabama,"13,888",22.94,7.46,691.24,7.20
1077,Lauderdale,Alabama,"93,545",129.83,7.04,679.89,7.48
1079,Lawrence,Alabama,"33,468",46.66,6.71,460.14,0.00
1081,Lee,Alabama,"160,403",260.37,7.84,"1,102.22",23.69
1083,Limestone,Alabama,"91,976",151.41,7.22,757.81,5.44
1085,Lowndes,Alabama,"10,588",14.61,7.04,"4,741.22",236.12
1087,Macon,Alabama,"20,174",32.90,8.03,"1,154.95",44.61
1089,Madison,Alabama,"363,655",447.48,7.96,760.89,2.75
1091,Marengo,Alabama,"20,210",20.56,7.48,"1,810.98",54.43
1093,Marion,Alabama,"30,585",41.13,6.47,"1,098.58",45.77
1095,Marshall,Alabama,"94,664",151.89,7.49,"2,223.65",12.68
