,Date,FIPS,County,State,PopEst,Cases,Deaths
0,7/14/2020,1001.0,Autauga,Alabama,55869.0,746.0,18.0
1,7/14/2020,1003.0,Baldwin,Alabama,223234.0,1414.0,12.0
2,7/14/2020,1005.0,Barbour,Alabama,24686.0,428.0,3.0
3,7/14/2020,1007.0,Bibb,Alabama,22394.0,236.0,2.0
4,7/14/2020,1009.0,Blount,Alabama,57826.0,366.0,1.0
5,7/14/2020,1011.0,Bullock,Alabama,10101.0,385.0,11.0
6,7/14/2020,1013.0,Butler,Alabama,19448.0,661.0,31.0
7,7/14/2020,1015.0,Calhoun,Alabama,113605.0,589.0,6.0
8,7/14/2020,1017.0,Chambers,Alabama,33254.0,712.0,32.0
9,7/14/2020,1019.0,Cherokee,Alabama,26196.0,140.0,7.0
10,7/14/2020,1021.0,Chilton,Alabama,44428.0,366.0,4.0
11,7/14/2020,1023.0,Choctaw,Alabama,12589.0,223.0,12.0
12,7/14/2020,1025.0,Clarke,Alabama,23622.0,330.0,6.0
13,7/14/2020,1027.0,Clay,Alabama,13235.0,92.0,2.0
14,7/14/2020,1029.0,Cleburne,Alabama,14910.0,53.0,1.0
15,7/14/2020,1031.0,Coffee,Alabama,52342.0,461.0,4.0
16,7/14/2020,1033.0,Colbert,Alabama,55241.0,592.0,6.0
17,7/14/2020,1035.0,Conecuh,Alabama,12067.0,250.0,8.0
18,7/14/2020,1037.0,Coosa,Alabama,10663.0,69.0,1.0
19,7/14/2020,1039.0,Covington,Alabama,37049.0,472.0,14.0
20,7/14/2020,1041.0,Crenshaw,Alabama,13772.0,144.0,3.0
21,7/14/2020,1043.0,Cullman,Alabama,83768.0,699.0,6.0
22,7/14/2020,1045.0,Dale,Alabama,49172.0,417.0,2.0
23,7/14/2020,1047.0,Dallas,Alabama,37196.0,1048.0,10.0
24,7/14/2020,1049.0,DeKalb,Alabama,71513.0,1128.0,7.0
25,7/14/2020,1051.0,Elmore,Alabama,81209.0,1126.0,24.0
26,7/14/2020,1053.0,Escambia,Alabama,36633.0,529.0,8.0
27,7/14/2020,1055.0,Etowah,Alabama,102268.0,1122.0,14.0
